iteration,operator,destroy_operator,repair_operator,accepted,temperature,route_count,current_route_count,hard_violations,weighted_tardiness,makespan_s,energy_kwh,current_hard_violations,current_weighted_tardiness,current_makespan_s,current_energy_kwh,destroy_weights,repair_weights
94,alns,worst_routes,regret2,False,618042.5687636234,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.191,related_routes=0.155,worst_routes=0.134","greedy=0.209,regret2=0.140"
95,alns,random_routes,greedy,False,611862.1430759871,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.191,related_routes=0.155,worst_routes=0.134","greedy=0.209,regret2=0.140"
96,alns,related_routes,greedy,False,605743.5216452272,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.191,related_routes=0.155,worst_routes=0.134","greedy=0.209,regret2=0.140"
97,alns,worst_routes,greedy,False,599686.086428775,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.191,related_routes=0.155,worst_routes=0.134","greedy=0.209,regret2=0.140"
98,alns,random_routes,regret2,False,593689.2255644873,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.191,related_routes=0.155,worst_routes=0.134","greedy=0.209,regret2=0.140"
99,alns,worst_routes,greedy,False,587752.3333088424,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.191,related_routes=0.155,worst_routes=0.134","greedy=0.209,regret2=0.140"
100,alns,random_routes,regret2,False,581874.809975754,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.191,related_routes=0.155,worst_routes=0.134","greedy=0.209,regret2=0.140"
101,alns,worst_routes,regret2,False,576056.0618759964,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.153,related_routes=0.124,worst_routes=0.107","greedy=0.167,regret2=0.112"
102,alns,worst_routes,greedy,False,570295.5012572365,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.153,related_routes=0.124,worst_routes=0.107","greedy=0.167,regret2=0.112"
103,alns,random_routes,regret2,False,564592.5462446641,21,16,0,186162.1244996922,11420.94204181823,73.38751908596429,0,899740.8822347645,13376.371696864764,71.1221103857909,"random_routes=0.153,related_routes=0.124,worst_routes=0.107","greedy=0.167,regret2=0.112"
